Date of Incident,State,Mine Name,Type of Mine,Shift,Worker Age,Worker Experience (Years),Occupation/Role,Accident Type,Root Cause Category,Injury Severity,Description,PPE Used,No. of Persons Killed,No. of Persons Seriously Injured,Place of Accident,Responsibility,Company
2016-01-05,Tamil Nadu,Neyveli Mine IA,Below Ground,B,42,5.4,Fitter,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Belt Conveyor Line in a Below Ground operation during shift B. Role: Fitter.,Yes,0,1,Belt Conveyor Line,Shared,NLC
2016-01-06,Maharashtra,Umrer OCP,Below Ground,C,36,13.6,Dumper Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Working Face in a Below Ground operation during shift C. Role: Dumper Operator.,No,0,1,Working Face,Worker,WCL
2016-01-12,Jharkhand,Katras Colliery,Opencast,C,35,3.5,Fitter,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Haul Road in a Opencast operation during shift C. Role: Fitter.,Yes,0,1,Haul Road,Worker,BCCL
2016-01-12,Telangana,Srirampur Area,Below Ground,B,27,5.1,Overman,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Gate Roadway in a Below Ground operation during shift B. Role: Overman.,Yes,0,2,Gate Roadway,Worker & Supervisor,SCCL
2016-01-13,Jharkhand,Lodna Colliery,Above Ground,A,27,9.2,Overman,Ground Movement,Ground Instability,Serious Injury,Ground Movement incident at Surface Substation in a Above Ground operation during shift A. Role: Overman.,Yes,0,1,Surface Substation,Management (Design/Safety),BCCL
2016-01-22,Madhya Pradesh,Dudhia Khurd,Opencast,A,40,5,Blaster,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Haul Road in a Opencast operation during shift A. Role: Blaster.,No,0,1,Haul Road,Worker,NCL
2016-01-29,Odisha,Lakhanpur OCP,Below Ground,C,23,0.4,Dumper Operator,Machinery other than Transportation,Mechanical Failure,Serious Injury,Machinery other than Transportation incident at Working Face in a Below Ground operation during shift C. Role: Dumper Operator.,No,0,1,Working Face,Maintenance & Management,MCL
2016-02-05,Odisha,Lakhanpur OCP,Below Ground,B,42,3.6,Dumper Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Working Face in a Below Ground operation during shift B. Role: Dumper Operator.,Yes,0,1,Working Face,Worker & Supervisor,MCL
2016-02-15,Maharashtra,Durgapur OCP,Below Ground,C,32,8.9,Mining Sirdar,Transportation Machinery (Winding),Mechanical Failure / Procedural,Serious Injury,Transportation Machinery (Winding) incident at X-Cut / Junction in a Below Ground operation during shift C. Role: Mining Sirdar.,Yes,0,1,X-Cut / Junction,Worker & Supervisor,WCL
2016-02-16,Madhya Pradesh,Durgapur OCP,Below Ground,C,44,9.8,Drill Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Belt Conveyor Line in a Below Ground operation during shift C. Role: Drill Operator.,Yes,0,2,Belt Conveyor Line,Worker & Supervisor,WCL
2016-02-18,Jharkhand,Parej East OCP,Opencast,A,30,7.4,HEMM Operator,Ground Movement,Ground Instability,Fatal,Ground Movement incident at Haul Road in a Opencast operation during shift A. Role: HEMM Operator.,No,1,0,Haul Road,Management (Design/Safety),CCL
2016-02-22,Uttar Pradesh,Dudhia Khurd,Below Ground,B,36,6,Drill Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Development Panel in a Below Ground operation during shift B. Role: Drill Operator.,Yes,0,1,Development Panel,Worker & Supervisor,NCL
2016-02-23,Maharashtra,Durgapur OCP,Below Ground,C,38,13.1,Fitter,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Belt Conveyor Line in a Below Ground operation during shift C. Role: Fitter.,Yes,0,1,Belt Conveyor Line,Worker,WCL
2016-03-02,Jharkhand,Kargali OCP,Opencast,C,41,14.8,Shovel Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Fatal,Transportation Machinery (Non-Winding) incident at Pit Floor in a Opencast operation during shift C. Role: Shovel Operator.,No,1,0,Pit Floor,Worker & Supervisor,CCL
2016-03-09,Jharkhand,Jharia Colliery,Below Ground,B,26,1.1,HEMM Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Belt Conveyor Line in a Below Ground operation during shift B. Role: HEMM Operator.,No,0,1,Belt Conveyor Line,Worker & Supervisor,BCCL
2016-03-10,Tamil Nadu,Neyveli Mine IA,Above Ground,A,32,13.4,HEMM Operator,Explosives,Explosives Handling,Serious Injury,Explosives incident at Weigh Bridge in a Above Ground operation during shift A. Role: HEMM Operator.,Yes,0,1,Weigh Bridge,Blaster & Supervisor,NLC
2016-03-16,Odisha,Lakhanpur OCP,Opencast,A,25,6.9,Fitter,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Haul Road in a Opencast operation during shift A. Role: Fitter.,Yes,0,1,Haul Road,Worker,MCL
2016-04-03,Maharashtra,Gondegaon OCP,Below Ground,B,37,9.1,Blaster,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Development Panel in a Below Ground operation during shift B. Role: Blaster.,Yes,0,1,Development Panel,Worker,WCL
2016-04-08,Madhya Pradesh,Gondegaon OCP,Above Ground,A,27,3.6,Fitter,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Surface Substation in a Above Ground operation during shift A. Role: Fitter.,Yes,0,2,Surface Substation,Worker,WCL
2016-04-16,Telangana,Kothagudem Area,Opencast,A,25,18.7,Mining Sirdar,Other Causes,Miscellaneous / Procedural,Fatal,Other Causes incident at OB Dump Slope in a Opencast operation during shift A. Role: Mining Sirdar.,Yes,1,0,OB Dump Slope,Shared,SCCL
2016-04-18,Madhya Pradesh,Dudhia Khurd,Opencast,B,36,12.7,Electrician,Other Causes,Miscellaneous / Procedural,Serious Injury,Other Causes incident at Workshop Yard in a Opencast operation during shift B. Role: Electrician.,No,0,1,Workshop Yard,Shared,NCL
2016-04-22,Telangana,Srirampur Area,Below Ground,A,33,7.4,Overman,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Serious Injury,Transportation Machinery (Non-Winding) incident at Working Face in a Below Ground operation during shift A. Role: Overman.,Yes,0,1,Working Face,Worker & Supervisor,SCCL
2016-04-24,Odisha,Basundhara OCP,Below Ground,A,29,4.6,Dumper Operator,Ground Movement,Ground Instability,Serious Injury,Ground Movement incident at Belt Conveyor Line in a Below Ground operation during shift A. Role: Dumper Operator.,No,0,1,Belt Conveyor Line,Management (Design/Safety),MCL
2016-04-26,Chhattisgarh,Gevra OCP,Below Ground,C,34,9.9,Overman,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at X-Cut / Junction in a Below Ground operation during shift C. Role: Overman.,No,0,1,X-Cut / Junction,Worker,SECL
2016-04-29,Jharkhand,Parej East OCP,Opencast,B,39,13.2,Shovel Operator,Machinery other than Transportation,Mechanical Failure,Serious Injury,Machinery other than Transportation incident at Shovel-Dumper Face in a Opencast operation during shift B. Role: Shovel Operator.,Yes,0,2,Shovel-Dumper Face,Maintenance & Management,CCL
2016-05-05,Madhya Pradesh,Kusmunda OCP,Opencast,A,31,6,Dumper Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Haul Road in a Opencast operation during shift A. Role: Dumper Operator.,Yes,0,1,Haul Road,Worker,SECL
2016-05-05,Odisha,Basundhara OCP,Below Ground,A,35,8.3,Drill Operator,Falls (Other than Fall of Ground),Unsafe Act / Unsafe Condition,Serious Injury,Falls (Other than Fall of Ground) incident at Working Face in a Below Ground operation during shift A. Role: Drill Operator.,Yes,0,1,Working Face,Worker,MCL
2016-05-10,Odisha,Basundhara OCP,Opencast,C,41,5.4,Drill Operator,Transportation Machinery (Non-Winding),Human Error / Equipment Interface,Fatal,Transportation Machinery (Non-Winding) incident at Workshop Yard in a Opencast operation during shift C. Role: Drill Operator.,Yes,1,0,Workshop Yard,Worker & Supervisor,MCL
